NOME_PRODUTO,CATEGORIA_REGULATORIA,NUMERO_REGISTRO_PRODUTO,DATA_VENCIMENTO_REGISTRO,CLASSE_TERAPEUTICA,EMPRESA_DETENTORA_REGISTRO,PRINCIPIO_ATIVO,BULA BAIXADA?,NAO TEM BULA!
TESTE CA 29298,SIMILAR,167250004,01/03/2028,4-DIMETILAMINOFENOL + ABÉTIMO,11111111000191 - EMPRESA DE TESTE LTDA. (VS01),ACICLOVIR +  AMOXICILINA +  CLARITROMICINA +  LANSOPRAZOL,,
teste vencimento,SIMILAR,167250015,01/01/2030,ABACAVIR,11111111000191 - EMPRESA DE TESTE LTDA. (VS01),ÁGUA,,
ATECTURA,NOVO,100681181,,ADRENÉRGICOS E OUTROS AGENTES PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,ACETATO DE INDACATEROL +  FUROATO DE MOMETASONA,,
BREZTRI AEROSPHERE,NOVO,116180302,01/08/2034,ADRENÉRGICOS E OUTROS AGENTES PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS,60318797000100 - ASTRAZENECA DO BRASIL LTDA,BUDESONIDA +  BROMETO DE GLICOPIRRÔNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
BEVESPI AEROSPHERE®,NOVO,116180283,01/12/2030,"ADRENÉRGICOS, PARA INALAÇÃO",60318797000100 - ASTRAZENECA DO BRASIL LTDA,BROMETO DE GLICOPIRRÔNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
DUAKLIR GENUAIR,NOVO,110130302,01/08/2029,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",44363661000157 - GLENMARK FARMACÊUTICA LTDA,BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
Duaklir Genuair,NOVO,116180274,01/08/2029,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",60318797000100 - ASTRAZENECA DO BRASIL LTDA,BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
ESPASMO DIMETILIV,SIMILAR,102351374,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,57507378000365 - EMS S/A,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
ESPASMO FLATOL,SIMILAR,167730170,01/03/2028,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
LUFTAL,NOVO,173900009,01/03/2027,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,59557124000115 - RECKITT BENCKISER (BRASIL) LTDA,SIMETICONA,,
MYLICON,NOVO,112363354,01/11/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA,SIMETICONA,,
SIMETICONA,GENÉRICO,125680137,01/04/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,73856593000166 - PRATI DONADUZZI & CIA LTDA,SIMETICONA,,
simeticona,GENÉRICO,125680134,01/05/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,73856593000166 - PRATI DONADUZZI & CIA LTDA,DIMETICONA +  SIMETICONA,,
simeticona,GENÉRICO,113430133,01/07/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,19570720000110 - HIPOLABOR FARMACEUTICA LTDA,SIMETICONA,,
simeticona + metilbrometo de homatropina,GENÉRICO,102351372,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,57507378000365 - EMS S/A,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
simeticona + metilbrometo de homatropina,GENÉRICO,105830994,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,45992062000165 - GERMED FARMACEUTICA LTDA,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
MYLICON,NOVO,157211209,01/11/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,59748988000114 - JOHNSON & JOHNSON INDUSTRIAL LTDA.,SIMETICONA,,
EPYSQLI,BIOLÓGICO,159210007,01/12/2034,AGENTE IMUNOSUPRESSOR,24563776000188 - SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.,ECULIZUMABE,,
OMVOH,BIOLÓGICO,112600206,01/12/2034,AGENTE IMUNOSUPRESSOR,43940618000144 - ELI LILLY DO BRASIL LTDA,MIRIQUIZUMABE,,
lenalidomida,GENÉRICO,146820120,01/01/2035,AGENTE IMUNOSUPRESSOR,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,LENALIDOMIDA,,
LASSYA,SIMILAR,146820123,01/08/2035,AGENTE IMUNOSUPRESSOR,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,LENALIDOMIDA,,
CERTICAN,NOVO,100680959,01/02/2029,AGENTE IMUNOSUPRESSOR,56994502000130 - NOVARTIS BIOCIENCIAS S.A,EVEROLIMO,,
CICLOSPORINA,GENÉRICO,105830234,01/08/2025,AGENTE IMUNOSUPRESSOR,45992062000165 - GERMED FARMACEUTICA LTDA,CICLOSPORINA,,
CLORIDRATO DE FINGOLIMODE,GENÉRICO,102351172,01/09/2026,AGENTE IMUNOSUPRESSOR,57507378000365 - EMS S/A,CLORIDRATO DE FINGOLIMODE,,
FENOSUPREX,SIMILAR,105830784,01/05/2026,AGENTE IMUNOSUPRESSOR,45992062000165 - GERMED FARMACEUTICA LTDA,MICOFENOLATO DE SÓDIO,,
GILENYA,NOVO,100681076,01/07/2026,AGENTE IMUNOSUPRESSOR,56994502000130 - NOVARTIS BIOCIENCIAS S.A,CLORIDRATO DE FINGOLIMODE,,
MAVENCLAD,NOVO,100890411,01/09/2029,AGENTE IMUNOSUPRESSOR,33069212000184 - MERCK S/A,CLADRIBINA,,
MICOFENOLATO DE MOFETILA,GENÉRICO,102350865,01/09/2027,AGENTE IMUNOSUPRESSOR,57507378000365 - EMS S/A,MICOFENOLATO DE MOFETILA,,
MICOFENOLATO DE MOFETILA,GENÉRICO,110390182,01/09/2029,AGENTE IMUNOSUPRESSOR,43640754000119 - FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,MICOFENOLATO DE MOFETILA,,
MICOFENOLATO DE SODIO,GENÉRICO,112080082,01/03/2026,AGENTE IMUNOSUPRESSOR,00394452000103 - COMANDO DO EXÉRCITO,MICOFENOLATO DE SÓDIO,,
MICOFENOLATO DE SODIO,GENÉRICO,105830787,01/05/2026,AGENTE IMUNOSUPRESSOR,45992062000165 - GERMED FARMACEUTICA LTDA,MICOFENOLATO DE SÓDIO,,
MICOFENOLATO DE SÓDIO,GENÉRICO,155370043,01/06/2025,AGENTE IMUNOSUPRESSOR,64171697000146 - ACCORD FARMACÊUTICA LTDA,MICOFENOLATO DE SÓDIO,,
MICOFENOLATO DE SÓDIO,GENÉRICO,102351131,01/03/2026,AGENTE IMUNOSUPRESSOR,57507378000365 - EMS S/A,MICOFENOLATO DE SÓDIO,,
MYCOSODIUM,SIMILAR,102351147,01/04/2026,AGENTE IMUNOSUPRESSOR,57507378000365 - EMS S/A,MICOFENOLATO DE SÓDIO,,
MYFORTIC,NOVO,100680897,01/11/2027,AGENTE IMUNOSUPRESSOR,56994502000130 - NOVARTIS BIOCIENCIAS S.A,MICOFENOLATO SÓDICO,,
OSYS,SIMILAR,100330198,01/12/2026,AGENTE IMUNOSUPRESSOR,61230314000175 - LIBBS FARMACÊUTICA LTDA,EVEROLIMO,,
RAPAMUNE,NOVO,121100453,01/04/2025,AGENTE IMUNOSUPRESSOR,61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA,SIROLIMO,,
SIGMASPORIN MICRORAL,SIMILAR,105830197,01/05/2027,AGENTE IMUNOSUPRESSOR,45992062000165 - GERMED FARMACEUTICA LTDA,CICLOSPORINA,,
SIGMASPORIN MICRORAL,SIMILAR,105830999,01/12/2031,AGENTE IMUNOSUPRESSOR,45992062000165 - GERMED FARMACEUTICA LTDA,CICLOSPORINA,,
cloridrato de fingolimode,GENÉRICO,155730040,01/05/2028,AGENTE IMUNOSUPRESSOR,05333542000108 - TEVA FARMACÊUTICA LTDA.,CLORIDRATO DE FINGOLIMODE,,
cloridrato de fingolimode,GENÉRICO,112060024,01/07/2028,AGENTE IMUNOSUPRESSOR,24365710000183 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,CLORIDRATO DE FINGOLIMODE,,
micofenolato de sódio,GENÉRICO,102980544,01/10/2030,AGENTE IMUNOSUPRESSOR,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,MICOFENOLATO DE SÓDIO,,
micofenolato de sódio,GENÉRICO,198830006,01/02/2031,AGENTE IMUNOSUPRESSOR,"13078518000190 - FUNDAÇÃO BAIANA DE PESQ. CIENTIFICA E DESENV.  TECNOLOGICO, FOR",MICOFENOLATO DE SÓDIO,,
cloridrato de fingolimode,GENÉRICO,155370103,01/05/2032,AGENTE IMUNOSUPRESSOR,64171697000146 - ACCORD FARMACÊUTICA LTDA,CLORIDRATO DE FINGOLIMODE,,
POMALYST,NOVO,101800412,,AGENTE IMUNOSUPRESSOR,56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,POMALIDOMIDA,,
everolimo,GENÉRICO,102351418,,AGENTE IMUNOSUPRESSOR,57507378000365 - EMS S/A,EVEROLIMO,,
cloridrato de fingolimode,GENÉRICO,174650011,,AGENTE IMUNOSUPRESSOR,09058502000148 - FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA,CLORIDRATO DE FINGOLIMODE,,
everolimo,GENÉRICO,110630162,,AGENTE IMUNOSUPRESSOR,33781055000135 - FUNDAÇÃO OSWALDO CRUZ,EVEROLIMO,,
everolimo,GENÉRICO,112060026,,AGENTE IMUNOSUPRESSOR,24365710000183 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,EVEROLIMO,,
everolimo,GENÉRICO,155370113,01/05/2033,AGENTE IMUNOSUPRESSOR,64171697000146 - ACCORD FARMACÊUTICA LTDA,EVEROLIMO,,
micofenolato de mofetila,GENÉRICO,174650013,01/06/2033,AGENTE IMUNOSUPRESSOR,09058502000148 - FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA,MICOFENOLATO DE MOFETILA,,
cloridrato de fingolimode,GENÉRICO,115410017,01/12/2032,AGENTE IMUNOSUPRESSOR,18268051000164 - CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,CLORIDRATO DE FINGOLIMODE,,
LENANGIO,SIMILAR,151430080,01/10/2033,AGENTE IMUNOSUPRESSOR,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,LENALIDOMIDA,,
lenalidomida,GENÉRICO,151430081,01/10/2033,AGENTE IMUNOSUPRESSOR,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,LENALIDOMIDA,,
SOTYKTU,NOVO,101800415,01/11/2033,AGENTE IMUNOSUPRESSOR,56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,DEUCRAVACITINIBE,,
Evtor,SIMILAR,155370122,01/01/2034,AGENTE IMUNOSUPRESSOR,64171697000146 - ACCORD FARMACÊUTICA LTDA,EVEROLIMO,,
SANDIMMUN/SANDIMMUN NEORAL,NOVO,100680020,01/10/2029,AGENTE IMUNOSUPRESSOR + IMUNOSUPRESSOR,56994502000130 - NOVARTIS BIOCIENCIAS S.A,CICLOSPORINA,,
ciclosporina,GENÉRICO,100470640,01/05/2031,AGENTE IMUNOSUPRESSOR + IMUNOSUPRESSOR,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,CICLOSPORINA,,
BOTULIM,BIOLÓGICO,116370230,01/02/2035,AGENTE PARALISANTE NEUROMUSCULAR,58430828000160 - BLAU FARMACEUTICA S.A.,TOXINA BOTULÍNICA A,,
LETYBO,BIOLÓGICO,176780002,01/02/2027,AGENTE PARALISANTE NEUROMUSCULAR,29190430000103 - GLOBAL REGULATORY PARTNERS BRASIL LTDA,TOXINA BOTULÍNICA A,,
BOTOX,NOVO,101470045,01/09/2027,AGENTE PARALISANTE NEUROMUSCULAR,43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,TOXINA BOTULÍNICA A,,
BOTULIFT,BIOLÓGICO,106460180,01/01/2030,AGENTE PARALISANTE NEUROMUSCULAR,61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,TOXINA BOTULÍNICA A,,
BOTULIM,BIOLÓGICO,116370143,01/02/2027,AGENTE PARALISANTE NEUROMUSCULAR,58430828000160 - BLAU FARMACÊUTICA S.A.,TOXINA BOTULÍNICA A,,
DYSPORT,BIOLÓGICO,169770001,01/04/2029,AGENTE PARALISANTE NEUROMUSCULAR,07718721000180 - BEAUFOUR IPSEN FARMACÊUTICA LTDA,TOXINA BOTULÍNICA A,,
Nabota,BIOLÓGICO,164250006,01/02/2030,AGENTE PARALISANTE NEUROMUSCULAR,07591326000180 - MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA,TOXINA BOTULÍNICA A,,
PROSIGNE,SIMILAR,102980317,01/03/2028,AGENTE PARALISANTE NEUROMUSCULAR,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,TOXINA BOTULÍNICA A,,
Xeomin,BIOLÓGICO,188020001,01/12/2029,AGENTE PARALISANTE NEUROMUSCULAR,11681446000145 - MERZ FARMACÊUTICA COMERCIAL LTDA,TOXINA BOTULÍNICA A,,
BOTOX,BIOLÓGICO,198600019,01/09/2027,AGENTE PARALISANTE NEUROMUSCULAR,15800545000150 - ABBVIE FARMACÊUTICA LTDA.,TOXINA BOTULÍNICA A,,
BLAUTOX,BIOLÓGICO,116370219,01/05/2034,AGENTE PARALISANTE NEUROMUSCULAR,58430828000160 - BLAU FARMACÊUTICA S.A.,TOXINA BOTULÍNICA A,,
DESAIRON,SIMILAR,102351222,01/07/2027,AGENTE QUELANTE DE FERRO,57507378000365 - EMS S/A,DEFERASIROX,,
EXJADE,NOVO,100681040,01/01/2026,AGENTE QUELANTE DE FERRO,56994502000130 - NOVARTIS BIOCIENCIAS S.A,DEFERASIROX,,
EZAFER,SIMILAR,125680322,01/12/2030,AGENTE QUELANTE DE FERRO,73856593000166 - PRATI DONADUZZI & CIA LTDA,DEFERASIROX,,
deferasirox,GENÉRICO,104070108,01/12/2028,AGENTE QUELANTE DE FERRO,30064034000100 - INSTITUTO VITAL BRAZIL S/A,DEFERASIROX,,
deferasirox,GENÉRICO,125680278,01/04/2029,AGENTE QUELANTE DE FERRO,73856593000166 - PRATI DONADUZZI & CIA LTDA,DEFERASIROX,,
deferasirox,GENÉRICO,155730054,01/08/2030,AGENTE QUELANTE DE FERRO,05333542000108 - TEVA FARMACÊUTICA LTDA.,DEFERASIROX,,
deferasirox,GENÉRICO,106460220,01/08/2031,AGENTE QUELANTE DE FERRO,61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,DEFERASIROX,,
Celecoxibe,GENÉRICO,100470630,01/05/2030,AGENTES ANTI-INFLAMATÓRIOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,CELECOXIBE,,
NIMSY,SIMILAR,177940047,01/03/2031,AGENTES ANTI-INFLAMATÓRIOS,09545589000188 - MABRA FARMACEUTICA LTDA,NIMESULIDA,,
Prexulid,SIMILAR,115600212,01/04/2030,AGENTES ANTI-INFLAMATÓRIOS,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,NIMESULIDA,,
nimesulida,GENÉRICO,115600227,01/09/2030,AGENTES ANTI-INFLAMATÓRIOS,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,NIMESULIDA,,
nimesulida,GENÉRICO,177940051,01/06/2032,AGENTES ANTI-INFLAMATÓRIOS,09545589000188 - MABRA FARMACEUTICA LTDA,NIMESULIDA,,
MELOCOX ODT,NOVO,100431462,,AGENTES ANTI-INFLAMATÓRIOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,MELOXICAM,,
BIOFLAN,FITOTERÁPICO,114620016,01/05/2028,AGENTES ANTI-INFLAMATÓRIOS + FITOTERAPICO SIMPLES,17440261000125 - MYRALIS INDÚSTRIA FARMACÊUTICA LTDA,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,,
AIR SALONPAS,ESPECÍFICO,110520004,,AGENTES ANTI-INFLAMATÓRIOS E ANTI-INFECCIOSOS EM ASSOCIAÇÃO,49383250000147 - HISAMITSU FARMACÊUTICA DO BRASIL LTDA,LEVOMENTOL +  CÂNFORA +  SALICILATO DE METILA +  SALICILATO DE ETILENOGLICOL,,
Artroflan,FITOTERÁPICO,178170870,01/03/2027,AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,,
VIMOVO,NOVO,186100014,01/06/2026,AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO,10555143000113 - GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,NAPROXENO +  ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO,,
SALONPAS GEL PATCH,ESPECÍFICO,110520006,,AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO,49383250000147 - HISAMITSU FARMACÊUTICA DO BRASIL LTDA,SALICILATO DE METILA +  LEVOMENTOL +  ACETATO DE RACEALFATOCOFEROL +  CÂNFORA,,
Salonpas Gel,ESPECÍFICO,110520005,,AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO,49383250000147 - HISAMITSU FARMACÊUTICA DO BRASIL LTDA,SALICILATO DE METILA +  LEVOMENTOL,,
ZEJULA,NOVO,101070368,01/03/2035,AGENTES ANTINEOPLÁSICOS,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,TOSILATO DE NIRAPARIBE MONOIDRATADO,,
letrozol,GENÉRICO,109740378,01/05/2035,AGENTES ANTINEOPLÁSICOS,49475833000106 - BIOLAB SANUS FARMACEUTICA LTDA,LETROZOL,,
ZYNLONTA,BIOLÓGICO,139000009,01/09/2028,AGENTES ANTINEOPLÁSICOS,21896000000191 - PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,LONCASTUXIMABE TESIRINA,,
ABBA,SIMILAR,146820078,01/03/2029,AGENTES ANTINEOPLÁSICOS,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,ACETATO DE ABIRATERONA,,
Abraxane,NOVO,125760033,01/04/2027,AGENTES ANTINEOPLÁSICOS,68949239000146 - UNITED MEDICAL LTDA,PACLITAXEL,,
Anastrozol,GENÉRICO,100470609,01/05/2028,AGENTES ANTINEOPLÁSICOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,ANASTROZOL,,
Citoplax,SIMILAR,106460218,01/02/2030,AGENTES ANTINEOPLÁSICOS,61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,CISPLATINA,,
DOCEUNO,SIMILAR,100431257,01/09/2028,AGENTES ANTINEOPLÁSICOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,DOCETAXEL TRIIDRATADO,,
ERANFUL,GENÉRICO,151430035,01/07/2028,AGENTES ANTINEOPLÁSICOS,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,FULVESTRANTO,,
EXHER,SIMILAR,182610004,01/03/2030,AGENTES ANTINEOPLÁSICOS,08157293000127 - NATCOFARMA DO BRASIL LTDA,EVEROLIMO,,
Everolimo,GENÉRICO,182610002,01/07/2028,AGENTES ANTINEOPLÁSICOS,08157293000127 - NATCOFARMA DO BRASIL LTDA,EVEROLIMO,,
FONHEP,SIMILAR,151430053,01/05/2030,AGENTES ANTINEOPLÁSICOS,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,PEMETREXEDE DISSÓDICO,,
FULVY,SIMILAR,155370098,01/06/2031,AGENTES ANTINEOPLÁSICOS,64171697000146 - ACCORD FARMACÊUTICA LTDA,FULVESTRANTO,,
HETGEM,SIMILAR,165070007,01/08/2030,AGENTES ANTINEOPLÁSICOS,24633934000129 - CAMBER FARMACEUTICA LTDA,CLORIDRATO DE GENCITABINA,,
IRNO,SIMILAR,165070009,01/12/2030,AGENTES ANTINEOPLÁSICOS,24633934000129 - CAMBER FARMACEUTICA LTDA,CLORIDRATO DE IRINOTECANO TRIIDRATADO,,
Iclusig,NOVO,139000001,01/05/2024,AGENTES ANTINEOPLÁSICOS,21896000000191 - PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,CLORIDRATO DE PONATINIBE,,
Imbruvica,NOVO,112363412,01/07/2025,AGENTES ANTINEOPLÁSICOS,51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA,IBRUTINIBE,,
Letrozol,GENÉRICO,182610001,01/04/2028,AGENTES ANTINEOPLÁSICOS,08157293000127 - NATCOFARMA DO BRASIL LTDA,LETROZOL,,
Lorbrena,NOVO,121100476,01/04/2023,AGENTES ANTINEOPLÁSICOS,61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA,LORLATINIBE,,
MYLVESTON,GENÉRICO,188300070,01/06/2029,AGENTES ANTINEOPLÁSICOS,11643096000122 - MYLAN LABORATORIOS LTDA,FULVESTRANTO,,
Mekinist,NOVO,100681127,01/12/2026,AGENTES ANTINEOPLÁSICOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,DIMETILSULFÓXIDO DE TRAMETINIBE,,
NERLYNX,NOVO,139000004,01/12/2036,AGENTES ANTINEOPLÁSICOS,21896000000191 - PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,MALEATO DE NERATINIBE,,
NOAZY,GENÉRICO,182610005,01/04/2030,AGENTES ANTINEOPLÁSICOS,08157293000127 - NATCOFARMA DO BRASIL LTDA,LETROZOL,,
PIQRAY,NOVO,100681165,01/09/2024,AGENTES ANTINEOPLÁSICOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,ALPELISIBE,,
PROEXTY,SIMILAR,100431336,01/07/2031,AGENTES ANTINEOPLÁSICOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,EXEMESTANO,,
Pemetrexede dissódico,GENÉRICO,151430050,01/02/2030,AGENTES ANTINEOPLÁSICOS,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,PEMETREXEDE DISSÓDICO,,
SIKLOS,NOVO,194530001,01/11/2031,AGENTES ANTINEOPLÁSICOS,14821008000123 - MASTERS SPECIALITY PHARMA LTDA,HIDROXIUREIA,,
TACE,SIMILAR,102980553,01/02/2031,AGENTES ANTINEOPLÁSICOS,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,DOCETAXEL,,
TYKITICIP,SIMILAR,115410014,01/10/2031,AGENTES ANTINEOPLÁSICOS,18268051000164 - CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,GEFITINIBE,,
VENOMY,SIMILAR,123520277,01/09/2030,AGENTES ANTINEOPLÁSICOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,ACETATO DE ABIRATERONA,,
VEQUILE,SIMILAR,100470613,01/09/2028,AGENTES ANTINEOPLÁSICOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,FULVESTRANTO,,
VITRAKVI,NOVO,170560117,01/07/2024,AGENTES ANTINEOPLÁSICOS,18459628000115 - BAYER S.A.,SULFATO DE LAROTRECTINIBE,,
Vitrakvi,NOVO,170560116,01/07/2024,AGENTES ANTINEOPLÁSICOS,18459628000115 - BAYER S.A.,SULFATO DE LAROTRECTINIBE,,
Xospata®,NOVO,177170010,01/03/2030,AGENTES ANTINEOPLÁSICOS,07768134000104 - ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS,HEMIFUMARATO DE GILTERITINIBE,,
acetato de abiraterona,GENÉRICO,146820068,01/09/2028,AGENTES ANTINEOPLÁSICOS,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,ACETATO DE ABIRATERONA,,
capecitabina,GENÉRICO,106460222,01/01/2032,AGENTES ANTINEOPLÁSICOS,61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,CAPECITABINA,,
cloridrato de erlotinibe,GENÉRICO,100470615,01/12/2028,AGENTES ANTINEOPLÁSICOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE ERLOTINIBE,,
cloridrato de gencitabina,GENÉRICO,165070004,01/05/2030,AGENTES ANTINEOPLÁSICOS,24633934000129 - CAMBER FARMACEUTICA LTDA,CLORIDRATO DE GENCITABINA,,
cloridrato de irinotecano triidratado,GENÉRICO,165070014,01/05/2031,AGENTES ANTINEOPLÁSICOS,24633934000129 - CAMBER FARMACEUTICA LTDA,CLORIDRATO DE IRINOTECANO TRIIDRATADO,,
dacarbazina,GENÉRICO,116370162,01/05/2030,AGENTES ANTINEOPLÁSICOS,58430828000160 - BLAU FARMACÊUTICA S.A.,DACARBAZINA,,
docetaxel,GENÉRICO,102980549,01/12/2030,AGENTES ANTINEOPLÁSICOS,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,DOCETAXEL,,
docetaxel,GENÉRICO,155370101,01/10/2031,AGENTES ANTINEOPLÁSICOS,64171697000146 - ACCORD FARMACÊUTICA LTDA,DOCETAXEL,,
docetaxel tri-hidratado,GENÉRICO,100431247,01/07/2028,AGENTES ANTINEOPLÁSICOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,DOCETAXEL TRIIDRATADO,,
fulvestranto,GENÉRICO,151430029,01/04/2028,AGENTES ANTINEOPLÁSICOS,03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,FULVESTRANTO,,
fulvestranto,GENÉRICO,100470611,01/07/2028,AGENTES ANTINEOPLÁSICOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,FULVESTRANTO,,
fulvestranto,GENÉRICO,188300063,01/12/2028,AGENTES ANTINEOPLÁSICOS,11643096000122 - MYLAN LABORATORIOS LTDA,FULVESTRANTO,,
fulvestranto,GENÉRICO,155370093,01/04/2031,AGENTES ANTINEOPLÁSICOS,64171697000146 - ACCORD FARMACÊUTICA LTDA,FULVESTRANTO,,
pemetrexede dissódico hemipentaidratado,GENÉRICO,116370153,01/09/2028,AGENTES ANTINEOPLÁSICOS,58430828000160 - BLAU FARMACÊUTICA S.A.,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO,,
ELOVIE,BIOLÓGICO,100330214,01/05/2032,AGENTES ANTINEOPLÁSICOS,61230314000175 - LIBBS FARMACÊUTICA LTDA,BEVACIZUMABE,,
