NOME_PRODUTO,CATEGORIA_REGULATORIA,NUMERO_REGISTRO_PRODUTO,DATA_VENCIMENTO_REGISTRO,CLASSE_TERAPEUTICA,EMPRESA_DETENTORA_REGISTRO,PRINCIPIO_ATIVO,BULA BAIXADA?,NAO TEM BULA!
cloridrato de fluoxetina,GENÉRICO,183260205,01/11/2026,ANTIDEPRESSIVOS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,141070130,01/10/2026,ANTIDEPRESSIVOS,02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,167730476,01/11/2026,ANTIDEPRESSIVOS,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,109170103,01/01/2027,ANTIDEPRESSIVOS,17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,100681152,01/02/2028,ANTIDEPRESSIVOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,155370065,01/07/2028,ANTIDEPRESSIVOS,64171697000146 - ACCORD FARMACÊUTICA LTDA,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,104971428,01/12/2028,ANTIDEPRESSIVOS,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,103920189,01/01/2029,ANTIDEPRESSIVOS,30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,CLORIDRATO DE FLUOXETINA,,
cloridrato de fluoxetina,GENÉRICO,125680283,01/06/2029,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,CLORIDRATO DE FLUOXETINA,,
cloridrato de nortriptilina,GENÉRICO,113430157,01/07/2028,ANTIDEPRESSIVOS,19570720000110 - HIPOLABOR FARMACEUTICA LTDA,CLORIDRATO DE NORTRIPTILINA,,
cloridrato de nortriptilina,GENÉRICO,104400223,01/09/2029,ANTIDEPRESSIVOS,33173097000274 - CELLERA FARMACÊUTICA S.A.,CLORIDRATO DE NORTRIPTILINA,,
cloridrato de paroxetina,GENÉRICO,156510005,01/03/2025,ANTIDEPRESSIVOS,05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,
cloridrato de paroxetina,GENÉRICO,151670035,01/06/2029,ANTIDEPRESSIVOS,04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,104971387,01/08/2025,ANTIDEPRESSIVOS,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,
cloridrato de paroxetina,GENÉRICO,141070103,01/11/2025,ANTIDEPRESSIVOS,02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,100470569,01/11/2025,ANTIDEPRESSIVOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,126750253,01/01/2027,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,102980464,01/05/2028,ANTIDEPRESSIVOS,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,100431265,01/03/2029,ANTIDEPRESSIVOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,
cloridrato de paroxetina,GENÉRICO,143810247,01/12/2029,ANTIDEPRESSIVOS,02814497000107 - CIMED INDUSTRIA S.A,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,154230310,01/07/2030,ANTIDEPRESSIVOS,03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A,CLORIDRATO DE PAROXETINA,,
cloridrato de paroxetina,GENÉRICO,155840595,01/03/2031,ANTIDEPRESSIVOS,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,
cloridrato de sertralina,GENÉRICO,123520103,01/08/2026,ANTIDEPRESSIVOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,156510010,01/01/2026,ANTIDEPRESSIVOS,05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,151670027,01/08/2027,ANTIDEPRESSIVOS,04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,110390191,01/10/2029,ANTIDEPRESSIVOS,43640754000119 - FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,105250062,01/08/2025,ANTIDEPRESSIVOS,33078528000132 - TORRENT DO BRASIL LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,141070102,01/11/2025,ANTIDEPRESSIVOS,02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,100681125,01/04/2026,ANTIDEPRESSIVOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,105830807,01/08/2026,ANTIDEPRESSIVOS,45992062000165 - GERMED FARMACEUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,167730431,01/08/2026,ANTIDEPRESSIVOS,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,126750224,01/10/2026,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,125680271,01/10/2028,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,103700724,01/12/2028,ANTIDEPRESSIVOS,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,105500196,01/12/2028,ANTIDEPRESSIVOS,48396378000182 - UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,105350209,01/06/2029,ANTIDEPRESSIVOS,17115437000173 - LABORATÓRIO GLOBO SA,CLORIDRATO DE SERTRALINA,,
cloridrato de sertralina,GENÉRICO,155370075,01/06/2029,ANTIDEPRESSIVOS,64171697000146 - ACCORD FARMACÊUTICA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de venlafaxina,GENÉRICO,123520205,01/08/2026,ANTIDEPRESSIVOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,105250068,01/10/2025,ANTIDEPRESSIVOS,33078528000132 - TORRENT DO BRASIL LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,126750217,01/10/2026,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,154230250,01/11/2026,ANTIDEPRESSIVOS,03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,105830909,01/08/2027,ANTIDEPRESSIVOS,45992062000165 - GERMED FARMACEUTICA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,102351277,01/09/2028,ANTIDEPRESSIVOS,57507378000365 - EMS S/A,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,125680309,01/02/2030,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,151670060,01/05/2030,ANTIDEPRESSIVOS,04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,123520270,01/07/2030,ANTIDEPRESSIVOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,100470635,01/01/2031,ANTIDEPRESSIVOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,155840598,01/05/2031,ANTIDEPRESSIVOS,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,CLORIDRATO DE VENLAFAXINA,,
cloridrato de venlafaxina,GENÉRICO,103700763,01/02/2052,ANTIDEPRESSIVOS,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,CLORIDRATO DE VENLAFAXINA,,
cloridrato duloxetina,GENÉRICO,126750373,01/01/2030,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,CLORIDRATO DE DULOXETINA,,
mirtazapina,GENÉRICO,183260289,01/08/2027,ANTIDEPRESSIVOS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,MIRTAZAPINA,,
mirtazapina,GENÉRICO,100681146,01/01/2028,ANTIDEPRESSIVOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,MIRTAZAPINA,,
mirtazapina,GENÉRICO,100681147,01/01/2028,ANTIDEPRESSIVOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,MIRTAZAPINA,,
mirtazapina,GENÉRICO,102351281,01/10/2028,ANTIDEPRESSIVOS,57507378000365 - EMS S/A,MIRTAZAPINA,,
mirtazapina,GENÉRICO,126750334,01/11/2028,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,MIRTAZAPINA,,
mirtazapina,GENÉRICO,167730606,01/11/2028,ANTIDEPRESSIVOS,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,MIRTAZAPINA,,
mirtazapina,GENÉRICO,105830944,01/11/2028,ANTIDEPRESSIVOS,45992062000165 - GERMED FARMACEUTICA LTDA,MIRTAZAPINA,,
mirtazapina,GENÉRICO,125680277,01/03/2029,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,MIRTAZAPINA,,
mirtazapina,GENÉRICO,151670052,01/06/2029,ANTIDEPRESSIVOS,04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,MIRTAZAPINA,,
mirtazapina,GENÉRICO,143810249,01/12/2029,ANTIDEPRESSIVOS,02814497000107 - CIMED INDUSTRIA S.A,MIRTAZAPINA,,
mirtazapina,GENÉRICO,105250083,01/04/2030,ANTIDEPRESSIVOS,33078528000132 - TORRENT DO BRASIL LTDA,MIRTAZAPINA,,
mirtazapina,GENÉRICO,103700765,01/04/2032,ANTIDEPRESSIVOS,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,MIRTAZAPINA,,
oxalato de escitalopram,GENÉRICO,123520212,01/04/2025,ANTIDEPRESSIVOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,100470574,01/11/2025,ANTIDEPRESSIVOS,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,100431177,01/03/2026,ANTIDEPRESSIVOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,167730418,01/07/2026,ANTIDEPRESSIVOS,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,105830797,01/07/2026,ANTIDEPRESSIVOS,45992062000165 - GERMED FARMACEUTICA LTDA,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,146820048,01/09/2026,ANTIDEPRESSIVOS,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,126750215,01/10/2026,ANTIDEPRESSIVOS,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,104400204,01/02/2028,ANTIDEPRESSIVOS,33173097000274 - CELLERA FARMACÊUTICA S.A.,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,105730610,01/06/2029,ANTIDEPRESSIVOS,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,141070620,01/05/2029,ANTIDEPRESSIVOS,02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,100681164,01/07/2029,ANTIDEPRESSIVOS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,OXALATO DE ESCITALOPRAM,,
oxalato de escitalopram,GENÉRICO,143810269,01/10/2030,ANTIDEPRESSIVOS,02814497000107 - CIMED INDUSTRIA S.A,OXALATO DE ESCITALOPRAM,,
succinato de desvenlafaxina,GENÉRICO,105250096,01/02/2032,ANTIDEPRESSIVOS,33078528000132 - TORRENT DO BRASIL LTDA,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
succinato de desvenlafaxina monoidratado,GENÉRICO,183260275,01/07/2026,ANTIDEPRESSIVOS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
succinato de desvenlafaxina monoidratado,GENÉRICO,135170034,01/07/2028,ANTIDEPRESSIVOS,48344725000719 - ALTHAIA S.A INDÚSTRIA FARMACÊUTICA,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
succinato de desvenlafaxina monoidratado,GENÉRICO,155840561,01/07/2028,ANTIDEPRESSIVOS,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
succinato de desvenlafaxina monoidratado,GENÉRICO,123520265,01/04/2030,ANTIDEPRESSIVOS,73663650000190 - RANBAXY FARMACÊUTICA LTDA,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
telmisartana,GENÉRICO,125680323,01/12/2030,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,TELMISARTANA,,
venlafaxina,GENÉRICO,104400200,01/02/2028,ANTIDEPRESSIVOS,33173097000274 - CELLERA FARMACÊUTICA S.A.,CLORIDRATO DE VENLAFAXINA,,
SYMPTA,SIMILAR,100431419,01/10/2028,ANTIDEPRESSIVOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,CLORIDRATO DE DULOXETINA,,
cloridrato de sertralina,GENÉRICO,105730006,,ANTIDEPRESSIVOS,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,CLORIDRATO DE SERTRALINA,,
VOEXTOR,SIMILAR,100330215,01/05/2032,ANTIDEPRESSIVOS,61230314000175 - LIBBS FARMACÊUTICA LTDA,BROMIDRATO DE VORTIOXETINA,,
SONIC,SIMILAR,100431435,01/05/2032,ANTIDEPRESSIVOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,CLORIDRATO DE TRAZODONA,,
cloridrato de trazodona,GENÉRICO,135170065,,ANTIDEPRESSIVOS,48344725000719 - ALTHAIA S.A INDÚSTRIA FARMACÊUTICA,CLORIDRATO DE TRAZODONA,,
cloridrato de venlafaxina,GENÉRICO,156510097,01/05/2032,ANTIDEPRESSIVOS,05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA,CLORIDRATO DE VENLAFAXINA,,
cloridrato de trazodona,GENÉRICO,183260491,01/06/2032,ANTIDEPRESSIVOS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,CLORIDRATO DE TRAZODONA,,
REMERON,NOVO,100290224,01/12/2025,ANTIDEPRESSIVOS,45987013000134 - ORGANON FARMACÊUTICA LTDA.,MIRTAZAPINA,,
cloridrato de duloxetina,GENÉRICO,118190238,01/01/2030,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE DULOXETINA,,
cloridrato de venlafaxina,GENÉRICO,118190237,01/10/2026,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE VENLAFAXINA,,
RALZIN,SIMILAR,125680326,01/07/2032,ANTIDEPRESSIVOS,73856593000166 - PRATI DONADUZZI & CIA LTDA,CLORIDRATO DE SERTRALINA,,
cloridrato de bupropiona,GENÉRICO,118190249,01/02/2028,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE BUPROPIONA,,
cloridrato de paroxetina,GENÉRICO,118190253,01/01/2027,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE PAROXETINA,,
cloridrato de sertralina,GENÉRICO,118190250,01/10/2026,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE SERTRALINA,,
BIPOLIT,SIMILAR,113430215,01/08/2032,ANTIDEPRESSIVOS,19570720000110 - HIPOLABOR FARMACEUTICA LTDA,CARBONATO DE LÍTIO,,
cloridrato de trazodona,GENÉRICO,100431450,01/09/2032,ANTIDEPRESSIVOS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,CLORIDRATO DE TRAZODONA,,
succinato de desvenlafaxina,GENÉRICO,103700773,01/10/2032,ANTIDEPRESSIVOS,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,,
carbonato de lítio,GENÉRICO,100630260,01/10/2032,ANTIDEPRESSIVOS,33258401000103 - INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,CARBONATO DE LÍTIO,,
DERADOP,SIMILAR,118190305,01/09/2028,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE BUPROPIONA,,
bromidrato de citalopram,GENÉRICO,118190328,01/10/2026,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,BROMIDRATO DE CITALOPRAM,,
cloridrato de amitriptilina,GENÉRICO,118190304,01/12/2028,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE AMITRIPTILINA,,
cloridrato de trazodona,GENÉRICO,118190303,01/07/2026,ANTIDEPRESSIVOS,92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,CLORIDRATO DE TRAZODONA,,
cloridrato de fluoxetina,SIMILAR,100630263,,ANTIDEPRESSIVOS,33258401000103 - INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,CLORIDRATO DE FLUOXETINA,,
DONEX,SIMILAR,103720309,,ANTIDEPRESSIVOS,43312503000105 - SUPERA FARMA LABORATÓRIOS S.A,CLORIDRATO DE TRAZODONA,,
